book_id,book_name
45220," Linux内核设计与实现(原书第3版)"
45221," 初中四星级题库数学第6版 含答案详解专册 学霸必刷题库/教辅图书的常春藤 江浙沪皖"
45222," 【新书店正版】嵌入式实时操作系统μC/OS-II原理及应用(第3版) 任哲房红征曹靖 北京航空航天大学出版社"
45223," 苹果Mac OS Sierra 10.12超级手册"
45224," Linux设备驱动开发详解宋宝华编著著操作系统（新）专业科技"
45225," 2019新版恩波教育小题狂做高中数学必修5优版RJ人教版高中数学小题狂做高二上学期数学必修五同步课本高中数学必修五人教"
45226," Windows 8从入门到精通（1DVD）"
45227," 精通Windows Vista系统应用"
45228," MCS-51嵌入式系统原理及应用"
45229," UG NX9 0中文版数控加工从入门到精通 钟涛,丁黎,单力岩 机械工业出版社"
45230," 现货正版 深入解析Windows操作系统 第6版 下册 Windows技术参考书 Windows Server 200"
45231," 钟书金牌 新教材全解高一年级上册数学 高1第一学期 沪教版上海高中教材全解同步辅导书 上海大学出版社"
45232," Linux 内核完全剖析——基于0.12内核"
45233," Windows Server 2008服务器配置与管理(全国机械行业职业教育优质规划教材·高职高专)"
45234," 树莓派3实战指南——手把手教你掌握Raspberry Pi 3与Windows 10 IoT Core项目开发"
45235," 操作系统——精髓与设计原理（第七版）（英文版）"
45236," 深入理解LINUX内核（第三版）"
45237," CAD教程书籍 cad室内设计 中文版AutoCAD 2018室内装潢设计从入门到精通 室内设计书籍 CAD室内装潢设"
45238," Linux程序设计(第4版)(非常有名的Linux程序设计图书)"
45239," Vue.js 前端开发 快速入门与专业应用 Vue.js指南 app web前端开发app技术 Vue.js适用场 网"
45240," 嵌入式Linux应用开发完全手册（附光盘）"
45241," 重难点手册高中生物必修2浙科版华中师范大学出版社精析重点难点密授学法考法完胜学考选考学能测评训练高考总复习资料多省"
45242," 计算机文化基础（Windows 7+Office 2010）(微课版)"
45243," 2020新版 高中必刷题语文必修一二合订 高一上册语文迁移阅读与语言文字应用 狂k重点 高中语文必修12 高中语文阅读"
45244," Windows Server 2008配置与管理"
45245," 现货正版 机器人学机器视觉与控制MATLAB算法基础 人工智能系统程序设计书籍 人机智能书籍 机器学习方法深度学习书"
45246," 系统建模与仿真"
45247," LINUX内核源代码情景分析 下册"
45248," 计算机操作系统教程(第3版)习题与实验指导"
45249," Windows内核情景分析—采用开源代码ReactOS(上下册)(全二册) 毛德操 电子工业出版社"
45250," 现货正版 以简驭繁Mac OS高效工作100招 Mac智能工作技巧书籍 iWork云端操作系统 Apple程序系统使用"
45251," 包邮 现代操作系统（英文版 第4版）|6821959"
45252," 2018pass绿卡图书 初中物理公式定律+初中化学学公式定律+初中数学公式定律 天天背新课标通用七八九年级初一二三中"
45253," Linux操作系统基础教程 第二版 21世纪高等学校规划教材·计算机应用"
45254," 感知层组建综合实训"
45255," Web应用开发技术（第2版）（高等院校信息技术规划教材）"
45256," Kali Linux无线网络渗透测试详解 李亚伟 清华大学出版社"
45257," UNIX初级教程（第五版）（英文版）"
45258," 计算机操作系统原理分析 第二版 21世纪高等学校规划教材·计算机科学与技术"
45259," iOS核心开发手册（原书第5版,世界知名iOS开发专家详细讲解创建优秀iOS移动应用程序的技术细节，阐释如何高效开发i"
45260," 过程控制系统应用与维护（高职）"
45261," 苹果Mac OS X El Capitan 10.11完全手册+苹果Mac OS Sierra 10.12手册 2册"
45262," Linux操作系统管理与应用"
45263," LPI Linux认证权威指南（第三版）"
45264," Linux Shell编程从初学到精通（第2版）(含DVD光盘1张)"
45265," Linux环境编程：从应用到内核"
45266," Windows漏洞攻击与安全防范"
45267," WebLogic Server系统管理和程序开发指南(含CD-ROM光盘一张) 张洪斌 机械工业出版社"
45268," 初中代数一题多变 量变 式变 题根不变 上海教育出版社 初中代数专题训练 含答案 初中数学通用教辅"
45269," 控制系统仿真与实践案例式教程"
45270," MCS-51嵌入式系统实验指导与习题集"
45271," Linux网络操作系统"
45272," 高中心理健康教育指导纲要 国家纲要课程教材：心理健康 高中3年上下册全套6本 心理辅导书 提高孩子心理素质的宝典 俞国"
45273," 树莓派应用速成 网络应用秘方"
45274," Ubuntu Linux轻松入门(附光盘)"
45275," 操作系统教程（Linux版）（普通高等教育“计算机类专业”规划教材）"
45276," 嵌入式Linux开发基础与工程应用"
45277," Windows Phone应用开发案例教程（高等学校计算机科学与技术项目驱动案例实践规划教材）"
45278," 新版衡水假期 暑假作业高一物理化学生物语文数学英语高中暑"
45279," 基于AUTOSAR规范的车用电机控制器软件开发 朱元 同济大学出版社 9787560871349"
45280," 嵌入式系统开发基础——基于ARM9微处理器C语言程序设计(第四版)"
45281," 鸟哥的Linux私房菜 基础学习篇(第三版)(Linux领域名人鸟哥带你迈入Linux殿堂)"
45282," Windows服务器管理与维护"
45283," Windows 8从入门到精通(革命性的改变！WIN8来袭！！一分钟快速掌握win8操作秘笈！！)"
45284," 精通嵌入式Linux编程--构建自己的GUI环境"
45285," ARM嵌入式系统原理与应用教程(第2版)（十三五）"
45286," Red Hat Enterprise Linux 7.0系统管理"
45287," 从实践中学嵌入式Linux应用程序开发（第2版）"
45288," 高中必刷题物理高一①必修RJ 正版 9787565643552"
45289," Linux内核设计的艺术：图解Linux操作系统架构设计与实现原理(第2版) 新设计团队 机械工业出版社"
45290," 计算机操作系统(第3版)（普通高校本科计算机专业特色教材精选·计算机原理）"
45291," Windows 7新手指南针(1CD）"
45292," windows server 2008配置与管理实例教程（职业教育“十二五”规划教材——计算机类专业）"
45293," Linux操作系统配置及应用(项目化教程)(丛佩丽)"
45294," 操作系统原理与应用"
45295," 黄东坡智慧大讲堂 带你发现数学之美 七年级7年级初一数学教辅 方法之美思维之美应用之美 数学思维应用同步培优 方法理论"
45296," Linux综合实训案例教程"
45297," Linux命令应用大词典 於岳 9787115401519"
45298," 算法（第四版）+算法导论原书第3版中文版 全2册 计算机程序设计编程算法导论基础书籍 算法圣经 软件必读教程书"
45299," 系统安装与重装（畅销升级版）"
45300," 网络操作系统（Windows Server 2008）"
45301," Windows Server 2008 R2 Active Directory配置指南 9787302242307 戴"
45302," 包邮 构建高可用Linux服务器（第4版）|6877022"
45303," Windows 7应用基础"
45304," Linux系统管理与服务配置"
45305," 操作系统"
45306," 2019高中必刷题数学必修2人教版高一数学必修2必刷题高中数学必修"
45307," Linux基础教程（第3版）"
45308," 新版高一必刷题数学物理化学生物必修一1理科全套人教版RJ高中必刷卷年新高考真题模拟试卷题库同步教材练习册辅导书资料"
45309," 嵌入式Linux程序设计"
45310," 深入理解计算机系统(原书第3版) 机械工业出版社"
45311," Linux多线程服务端编程：使用muduo C++网络库(写给每一位C++程序员，功力为证，集编程思"
45312," 嵌入式系统原理与应用 第2版"
45313," 【正版全新直发】Linux系统编程(第2版) [美]Robert Love,祝洪凯 9787115346353 人民邮"
45314," Windows XP基本操作与应用"
45315," Linux大棚命令百篇（下）—— 网络和系统篇"
45316," 计算机操作系统"
45317," μC/OS- II嵌入式系统设计"
45318," 精通Excel数据统计与分析 人民邮电出版社"
45319," 全新正版 Linux系统管理习题集 何明 清华大学出版社 9787302309352缘为书来图书专营店"
45320," Windows Vista操作系统（第2版）(含光盘1张)"
45321," 新版 钟书金牌新教材全解高一年级上语文数学英语N版牛津物理化学 高1年级第一学期 上海沪教版中学教辅书高中全套同步辅导"
45322," 正版现货 零起点Python足彩大数据与机器学习实盘分析 Python编程语言教程书籍 机器学习人工智能算法大数据分析"
45323," 【官方授权】新版双考倍多分教材四练四测卷高中物理必修1人教版RJ高一必修一高中同步练习必刷题单元课时考点测试卷王后雄"
45324," 嵌入式Linux编程与实践教程"
45325," 玩转Windows8(全彩印刷，图文并茂，内容详实，讲解细致)"
45326," 计算机操作系统（第2版）"
45327," 操作系统原理及应用（Linux）"
45328," 操作系统课程设计"
45329," 操作系统原理"
45330," Unity 4.x游戏开发实例指南"
45331," 高效办公：玩转Access数据库 计算机与互联网 办公软件+中文版Moldflow 2018模流分析从入门到精通模具设"
45332," UNIX 操作系统教程 （第3版）(普通高等教育“十一五”国家级规划教材)"
45333," SAS统计分析实用宝典 姚鑫锋 等 编著 著作"
45334," Linux KVM虚拟化架构实战指南"
45335," Windows 7实用教程"
