book_id,book_name
51220," 计算机应用基础项目教程（2）"
51221," 计算机应用基础项目教程（第2版）"
51222," 嵌入式单片机STM32设计及应用技术"
51223," 基于激光点云数据的三维建模应用实践"
51224," 大学计算机基础—Windows7+Office2010"
51225," MCS-51单片机原理及应用"
51226," 单片机实验与实践教程"
51227," 大学计算机基础—Windows7+Office2007"
51228," 大学计算机概论"
51229," 大学计算机基础(第二版)"
51230," 计算机应用基础案例教程"
51231," 计算机应用基础"
51232," 大学信息技术"
51233," 单片机原理及应用"
51234," 计算机应用基础上机实验"
51235," 黑科技浪潮"
51236," 51单片机C语言编程一学就会"
51237," 面向海量文本的聚类集成技术研究"
51238," 计算机应用案例教程"
51239," 实用数字电子技术项目教程"
51240," 大学计算机基础习题与实验指导"
51241," 巨量串匹配基础"
51242," 计算机应用基础实训指导"
51243," 计算机原理"
51244," 大学计算机基础上机实践教程"
51245," 大学计算机基础实验教程"
51246," 计算机应用基础项目化教程"
51247," 计算机应用基础(Windows 7+Office 2010)"
51248," 大学计算机基础实践教程(工业和信息化普通高等教育“十二五”规划教材立项项目)"
51249," 单片机原理与接口技术"
51250," 最新大学计算机基础学习导航"
51251," 计算机操作实践(工业和信息化普通高等教育“十二五”规划教材立项项目)"
51252," 计算机应用基础(第三版)"
51253," 大学计算机基础实训教程"
51254," Windows 7+Office 2010 实训指导（全国高职高专“十二五”规划教材）"
51255," 文字录入与编辑立体化教程"
51256," 数据科学导论"
51257," 大学计算机基础实验教程"
51258," 未来计算：讨论和展望"
51259," 大学计算机应用基础"
51260," 计算机应用基础"
51261," 计算机应用基础实验指导与习题集（Windows 7+Office 2010）（全国高职高专“十二五”规划教材）"
51262," 多目标人工蜂群算法及遗传算法的研究与应用"
51263," VIP-重生——Windows数据恢复技术极限剖析"
51264," 微机原理与接口技术"
51265," 信息推荐系统"
51266," 三菱FX/A/Q系列PLC自学手册"
51267," 信息技术 先进音视频编码 第4部分：符合性测试"
51268," ARE虚拟仿真综合实训"
51269," 计算机控制技术"
51270," 计算思维导论"
51271," 计算机应用基础考点与试题解析"
51272," 计算机应用基础"
51273," 计算机数学基础"
51274," 计算机文化基础教程"
51275," 计算机基础实训与测试"
51276," 计算机应用基础上机指导与习题"
51277," 计算机基础习题与实验教程"
51278," 计算机应用基础习题精选与实验指导"
51279," 计算机应用高级教程实验指导"
51280," 计算机应用基础上机指导"
51281," 计算机应用基础项目实训指导"
51282," 计算机应用基础"
51283," 信息技术概论实践教程"
51284," 计算机应用基础上机实验"
51285," 信息技术 藏文编码字符集键盘字母数学区的布局 GB/T 22034-2008"
51286," 计算机视觉——算法与应用"
51287," 计算机视觉—Cayley变换与度量重构"
51288," 计算机导论"
51289," 计算机操作与应用基础教程"
51290," 办公自动化实验指导"
51291," 计算几何及应用"
51292," 计算机应用基础实训教程"
51293," 计算机基础学习指导与实训(第三版)(唐铸文)"
51294," 计算机操作"
51295," 信息技术 通用多八位编码字符集(CJK统一汉字) 15x16点阵字型"
51296," 贸易数据交换 贸易数据元目录 数据元GB/T 15191-2010"
51297," 数字逻辑"
51298," 云计算——技术、平台及应用案例"
51299," 计算机应用基础实验指导与考级训练 (21世纪高等院校创新精品规划教材)"
51300," 单片机应用技术项目教程(C 语言版) (高职高专教育“十二五”规划教材)"
51301," 大学计算机基础（第二版）"
51302," 计算机应用基础上机指导"
51303," 大学计算机基础 (第二版)(21世纪高等学校精品规划教材)"
51304," 微机原理与接口技术 (21世纪高等学校精品规划教材)"
51305," 计算机应用基础 （21世纪高职高专规划教材）"
51306," 微型计算机基本原理与接口技术学习指导"
51307," 计算机应用基础"
51308," 大学计算机基础上机实验教程"
51309," 计算机应用基础实用教程习题集"
51310," 常用工具软件"
51311," 信息技术与教育 借鉴最佳实例—第四届信息技术与教育国际学术研讨会论文集"
51312," 计算机应用基础实例教程 (第二版)(21世纪高职高专创新精品规划教材)"
51313," 电脑应用 从新手到高手（配光盘）（从新手到高手）"
51314," 大学计算机基础 (21世纪高等院校创新精品规划教材)"
51315," 高职计算机类精品教材 计算机应用基础实训指导"
51316," 大学计算机基础(第二版)"
51317," 大学计算机基础实验教程"
51318," 云计算"
51319," 办公自动化教程"
51320," 计算机应用基础实训指导与习题集"
51321," 计算机应用技能教程 (高等院校“十一五”规划教材)"
51322," 信息技术 开放系统互连 面向连接的表示协议 第1部分：协议规范"
51323," 计算机应用基础实训教程：高等院校“十一五”规划教材"
51324," 苹果生存手册——Mac电脑达人速成（配光盘）（全书彩印，大陆第一本版权输出到台湾地区的苹果书）"
51325," 计算机应用基础"
51326," 计算机应用基础教程(第三版)"
51327," 信息技术基础 （高等院校“十一五”规划教材）"
51328," 计算机应用基础案例教程 (高等院校“十一五”规划教材)"
51329," 大学计算机基础教程"
51330," 计算机应用基础--上机指导"
51331," 多媒体计算机技术"
51332," 大学计算机基础教程(含实训教程CD)共二册"
51333," 计算机组成原理与设计"
51334," 新编电脑基础应用教程"
51335," 大学计算机基础 (21世纪高等院校计算机科学与技术规划教材)"
51336," 大学计算机教程"
51337," 计算机应用基础实践指导"
51338," 计算机基础实训教程"
51339," 高等院校计算机基础教育经验汇编（第一集）"
51340," 基于序列图像的视觉检测理论与方法"
51341," 大学计算机基础 (21世纪高等院校规划教材)"
51342," 计算机基础实验指导"
51343," 大学计算机基础"
51344," 计算机文化基础(XP版)习题与实训指导 (21世纪高职高专规划教材)"
51345," 计算机应用实训教程（附光盘）"
51346," 大学计算机基础教程(含实验)"
51347," 大学计算机应用基础 (高等院校“十一五”规划教材)"
51348," 全通用管理信息处理系统设计理论 (全通用管理信息处理系统丛书)"
51349," 计算机文化基础习题与实验（第二版）（含盘）"
51350," 计算机应用基础习题集与实训指导"
51351," 计算机应用（第二版）"
51352," 计算机应用基础上机指导与知识题解"
51353," 计算机应用教程（附光盘）"
51354," 计算机应用基础习题与实训指导"
51355," 控制系统数字仿真"
51356," 大学计算机基础教程"
51357," 计算机应用基础上机指导与习题集"
51358," Z形式规约切片的研究"
51359," 大学计算机应用基础教程"
51360," 西门子S7-200系列PLC应用与开发"
51361," 数据结构（C语言描述）——21世纪高职高专新概念教材"
51362," 计算机组成原理实验教程"
51363," 大学计算机基础实验教程"
51364," 计算机应用基础实训指导（附光盘）"
51365," 接口技术"
51366," 微型计算机原理与接口技术——高等学校电子类系列教材"
51367," 可编程逻辑器件与EDA技术"
51368," 计算几何：算法设计与分析（第2版）——中国计算机学会学术著作丛书"
51369," 计算思维与大学计算机基础实验指导"
51370," 计算机网络技术应用及发展探究"
51371," 科技引领生活之书：一本书读懂大数据+一本书读互联网思维+一本书读懂互联网+一本书读懂众筹+一本书读懂互联网金融+一本书"
51372," 思维的理性与工具——计算机前传文化"
51373," 信息技术概论"
51374," 计算机操作与应用基础教程"
51375," 计算机图形学(第二版)"
51376," 大学计算机基础实践"
51377," 大学IT基础教程"
51378," 计算机文化教程_Windows7+Office2010"
51379," 新编大学计算机基础-计算机科学概论"
51380," 大学计算机基础实训指导(第2版)(CD)"
51381," 大学计算机基础案例教程"
51382," 新编计算机应用基础"
51383," 大学计算机基础实用教程"
51384," 计算机网络实用教程"
51385," 计算机应用基础"
51386," 计算机应用基础"
51387," 云平台中用户行为与访问控制策略研究"
51388," 计算机专业教学改革研究"
51389," 计算方法(修订版)"
51390," 大学信息技术基础教程"
51391," 大学计算机基础"
51392," 计算思维与大学计算机基础实验教程"
51393," 《计算机应用基础》（工商类）"
51394," 计算机基础与应用案例教程"
51395," 大学计算机基础（含实训）共两册"
51396," 大学计算机基础"
51397," 计算机应用基础(农林类)"
51398," 计算机组成原理"
51399," 单片机原理与实训教程"
51400," 信息机房建设指南"
51401," 时间可变的运作调度模型与算法"
51402," 中国IT运维能力建设指南"
51403," 计算机应用基础立体化教程（Windows 7+Office 2010）（全国高职高专“十三五”规划教材）"
51404," 大学体育与健康（应用技术型高等教育“十二五”规划教材）"
51405," 大学计算机基础实验教程"
51406," 大学计算机实战指导"
51407," 大学信息技术基础"
51408," 计算机控制技术"
51409," 计算机应用基础项目化教程（全国高职高专“十三五”规划教材）"
51410," 计算机应用基础（高等职业教育“十三五”规划教材）"
51411," 大学计算机基础（Windows7+office2010）"
51412," 计算机应用基础与实践教程（高等职业教育“十三五”规划教材）"
51413," 计算机基础"
51414," 大学计算机实用软件基础教程"
51415," 案例教程系列 信息技术应用基础案例教程(第二版)"
51416," INTERNET基础与应用(第二版)"
51417," 单片机并行总线开发及模块设计"
51418," 计算机应用基础实验与实训教程（Windows 7+Office 2010）"
51419," 计算机应用基础教程（Windows 7+Office 2010）"
51420," 大学计算机基础实践教程"
51421," 计算机应用基础项目教程（1）"
51422," 计算机应用基础项目教程（3）"
51423," 大学计算机基础教程(第2版)"
51424," 微型计算机原理与接口技术(第5版)"
51425," 中国大学生计算机设计大赛2015年参赛指南 配光盘"
51426," 基于结构光的计算机视觉"
51427," 你一定要懂的计算机知识"
51428," 单片机技术与应用（中职）"
51429," 大学计算机实验"
51430," 大学计算机基础实训教程"
51431," 大学计算机基础"
51432," 大学计算机基础实践教程(第2版)"
51433," 计算机应用基础"
51434," 单片机技术"
51435," 计算机文化基础（Windows XP）"
51436," 微机原理及接口技术"
51437," 标引语言和标引方法基础教程"
51438," 计算机文化基础（Windows XP版）"
51439," 计算机文化基础"
51440," 电脑综合应用技巧"
51441," 大学计算机基础"
51442," PIC单片机应用"
51443," 计算机应用基础与案例教程"
51444," 深度学习理论与实践"
51445," 中等职业课程改革新教材 计算机应用基础（基础模块）"
51446," “十二五”职业教育国家规划教材 计算机应用基础"
51447," “十二五”职业教育国家规划教材 计算机应用基础实训指导"
51448," 中等职业课程改革新教材 计算机应用基础（WindowsXP+Office2003）"
51449," 中等职业课程改革新教材 计算机应用基础（WindowsXP+Office2007）"
51450," 云计算及其军事应用"
51451," 未来10年中国学科发展战略.信息科学"
51452," HELLO RUBY: 儿童电脑漫游记"
51453," 新版奥赛经典专题研究系列初中数学竞赛中的代数问题几何问题组合问题数论问题全套四本集初中奥"
51454," 内容分发网络原理与实践 CDN 网络结构 案例 内容分发网络 互联网开发人员参考书籍"
51455," 数学之美+数学之书全2册 数学250个里程碑式的发现 带你发现数学之美 传奇数学趣味数学阅"
51456," 正版5本 社群营销+口碑+实用文案互联网微信软文网络市场营销学策划管理书籍吸金广告文案活动策划书籍 畅销书自新媒体运营"
51457," 算法竞赛入门经典（第2版）（算法艺术与信息学竞赛）"
51458," [正版图书-QS]--移动互联网思维 9787111490906"
51459," 正版现货 数学之美(第二版) 浪潮之巅作者 吴军力作 文津图书奖获奖书 新闻推荐的学科敲门砖计算机/"
51460," 电脑知识百科"
