book_id,book_name
28220," 【全新正版】网络犯罪过程分析与应急响应 红黑演义实战宝典 张胜生 刘静 陈乐然 9787115488411 人民邮电出"
28221," 【全新正版】密码历史与传奇 [美]克雷格·鲍尔(Craig P.Bauer) 9787115493965 人民邮电出版"
28222," 【全新正版】Cisco Firepower威胁防御(FTD)设备的高级排错与配置 [美]纳茨穆尔·拉杰卜(Nazmul"
28223," 【全新正版】内存取证原理与实践 王连海 张睿超 徐丽娟 张淑慧 9787115487872 人民邮电出版社"
28224," 【全新正版】Wireshark与Metasploit实战指南 [美]杰西·布洛克(Jessey Bullock) [加"
28225," 【全新正版】黑客揭秘与反黑实战 基础入门不求人 新阅文化 张晓宇 张婷婷 朱琳 9787115490797 人民邮电出"
28226," 【全新正版】精通Metasploit渗透测试 第3版 [英] 尼普恩·贾斯瓦尔(Nipun Jaswal) 97871"
28227," 【全新正版】网络空间安全通识教程 陈铁明 9787115507754 人民邮电出版社"
28228," 【全新正版】零信任网络 在不可信网络中构建安全系统 [美] 埃文·吉尔曼(Evan Gilman),道格·巴斯(Dou"
28229," 【全新正版】思科网络技术学院教程 CA网络安全运营 [美]艾伦·约翰逊(Allan Johnson) 97871155"
28230," 【全新正版】渗透测试 完全初学者指南 [美]乔治亚·魏德曼(Georgia Weidman) 978711550884"
28231," 【全新正版】Wireshark网络分析从入门到实践 李华峰 陈虹 9787115505224 人民邮电出版社"
28232," 【全新正版】网络空间安全实践能力分级培养(I) 陈凯 付才 刘铭 9787115515001 人民邮电出版社"
28233," 【全新正版】中小企业网络管理员工作实践：黑客攻防安全卷 [中国]黄治国;李颖 9787113257668 中国铁道出版"
28234," 【全新正版】研究：黑客编程技术揭秘与攻防实战 赵笑声 9787113219864 中国铁道出版社"
28235," 【全新正版】全图解黑客攻防实战(图解视听版) 梁银亮 9787113249410 中国铁道出版社"
28236," 【全新正版】网络空间安全 拒绝服务攻击检测与防御 杨家海 安常青 9787115496225 人民邮电出版社"
28237," 【全新正版】信息系统安全集成 张启浩著 9787112187812 中国建筑工业出版社"
28238," 【全新正版】Linux系统安全：纵深防御、安全扫描与入侵检测 胥峰 9787111632184 机械工业出版社"
28239," 【全新正版】AI安全之对抗样本入门 兜哥 9787111626824 机械工业出版社"
28240," 【全新正版】计算机安全：原理与实践(原书第4版) William Stallings; Lawrie Brown 97"
28241," 【全新正版】计算机安全：原理与实践(英文版 原书第4版) [美]威廉·斯托林斯(William Stallings)劳"
28242," 【全新正版】企业安全建设指南：金融行业安全架构与技术实践 聂君 李燕 何扬军 9787111622031 机械工业出版"
28243," 【全新正版】从实践中学习Metasploit 5渗透测试 大学霸IT达人 9787111630852 机械工业出版社"
